cipher_suites,compression_methods,ec_point_formats,extension_types,signature_algorithms,supported_groups,tls_version,library_version
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-1.8.8.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.1.1
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.2.1
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.2.2
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.3.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.4.6
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.4.7
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.5.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.5.2
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.5.2b
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.6.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.8.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-2.9.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.0.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.0.2
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.1.0
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,missing,10+13+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.10.2-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,missing,10+13+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.10.3
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,missing,10+13+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.11.0-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,missing,13+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.12.0-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.13.0-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.14.2
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.14.5
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.15.0-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-3.15.3-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp521r1, secp384r1, secp256r1, secp224r1, secp192r1, secp160r1",771,wolfssl-3.15.6
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp521r1, secp384r1, secp256r1, secp224r1, secp192r1, secp160r1",771,wolfssl-3.15.7-stable
61+60+53+47+5+4+10,0,missing,13,"0x0401, 0x0201",missing,771,wolfssl-3.4.0
61+60+53+47+5+4+10,0,missing,13,"0x0401, 0x0201",missing,771,wolfssl-3.4.2
49196+49195+49200+49199+159+158+157+156+49198+49197+49202+49201+52244+52243+52245+49191+49187+49193+49189+49192+49188+49194+49190+49162+49157+49161+49156+49160+49155+49172+49167+49171+49166+49170+49165+107+103+57+51+61+60+53+47+10,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.4.8
49196+49195+49200+49199+159+158+157+156+49198+49197+49202+49201+52244+52243+52245+49191+49187+49193+49189+49192+49188+49194+49190+49162+49157+49161+49156+49160+49155+49172+49167+49171+49166+49170+49165+107+103+57+51+61+60+53+47+10,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.6.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.7.0
49196+49195+49200+49199+159+158+52244+52243+52245+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.8.0
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49160+49172+49171+49170+107+103+57+51+52244+52243+52245,0,missing,13,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.9.0
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,missing,13+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201",missing,771,wolfssl-3.9.10-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp521r1, secp384r1, secp256r1, secp224r1, secp192r1, secp160r1, ffdhe2048",771,wolfssl-4.0.0-stable
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-WCv4.0-RC4
49196+49195+49200+49199+159+158+52393+52392+52394+49191+49187+49192+49188+49162+49161+49172+49171+107+103+57+51+52244+52243+52245,0,uncompressed,13+11+10+23,"0x0603, 0x0503, 0x0403, 0x0203, 0x0601, 0x0501, 0x0401, 0x0201","secp160r1, secp192r1, secp224r1, secp256r1, secp384r1, secp521r1",771,wolfssl-WCv4.0-RC5
